dagger,month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
f1,sep,64,22.09.2023,16:00:00,13.25,11.5,12.5,1395,202
f1,sep,65,22.09.2023,16:15:00,13.25,11.5,12.4375,1395,202
f1,sep,66,22.09.2023,16:30:00,13.25,11.375,12.4375,1399,202
f1,sep,67,22.09.2023,16:45:00,12.125,11.375,11.25,1405,202
f1,sep,68,22.09.2023,17:00:00,12.9375,11.25,11.1875,1415,202
f1,sep,69,22.09.2023,17:15:00,12.8125,11,11.375,1426,202
f1,sep,70,22.09.2023,17:30:00,12.75,11,11.375,1432,202
f1,sep,71,22.09.2023,17:45:00,12.625,11.125,11.4375,1438,202
f1,sep,72,22.09.2023,18:00:00,12.5625,11,11.375,1442,202
f1,sep,73,22.09.2023,18:15:00,12.5,10.8125,11.125,1445,202
f1,sep,74,22.09.2023,18:30:00,12.375,10.625,11,1450,202
f1,sep,75,22.09.2023,18:45:00,12.25,10.3125,10.875,1452,202
f1,sep,76,22.09.2023,19:00:00,12.1875,10.25,10.8125,1455,202
f1,sep,77,22.09.2023,19:15:00,12.0625,10.3125,11,1458,202
f1,sep,78,22.09.2023,19:30:00,12,10.6875,11.4375,1460,202
f1,sep,79,22.09.2023,19:45:00,11.875,10.75,11.25,1462,202
f1,sep,80,22.09.2023,20:00:00,11.8125,10.75,11.125,1463,202
f1,sep,81,22.09.2023,20:15:00,11.75,10.5,10.875,1464,202
f1,sep,82,22.09.2023,20:30:00,11.75,10.375,10.75,1466,202
f1,sep,83,22.09.2023,20:45:00,11.6875,10.125,10.375,1467,202
f1,sep,84,22.09.2023,21:00:00,11.625,10,10.125,1469,202
f1,sep,85,22.09.2023,21:15:00,11.625,10.0625,10.25,1472,202
f1,sep,86,22.09.2023,21:30:00,11.5,10,10.0625,1481,202
f1,sep,87,22.09.2023,21:45:00,11.5,9.875,10.0625,1478,202
f1,sep,88,22.09.2023,22:00:00,11.5,9.8125,9.9375,1480,202
f1,sep,89,22.09.2023,22:15:00,11.4375,9.6875,9.875,1482,202
f1,sep,90,22.09.2023,22:30:00,11.375,9.8125,10,1484,202
f1,sep,91,22.09.2023,22:45:00,11.375,9.1875,9.375,1485,202
f1,sep,92,22.09.2023,23:00:00,11.25,9,9.3125,1488,202
f1,sep,93,22.09.2023,23:15:00,11.25,8.875,9.375,1490,202
f1,sep,94,22.09.2023,23:30:00,11.125,8.5625,9.125,1490,202
f1,sep,95,22.09.2023,23:45:00,11.0625,8.5,8.9375,1493,202
f1,sep,96,23.09.2023,00:00:00,11.0625,8.625,9,1495,202
f1,sep,97,23.09.2023,00:15:00,10.9375,8.625,8.8125,1496,202
f1,sep,98,23.09.2023,00:30:00,10.875,8.6875,8.75,1499,202
f1,sep,99,23.09.2023,00:45:00,10.875,8.75,8.8125,1500,202
f1,sep,100,23.09.2023,01:00:00,10.8125,8.8125,8.6875,1501,202
f1,sep,101,23.09.2023,01:15:00,10.8125,8.875,8.625,1503,202
f1,sep,102,23.09.2023,01:30:00,10.75,8.875,8.6875,1504,202
f1,sep,103,23.09.2023,01:45:00,10.75,8.875,8.75,1506,202
f1,sep,104,23.09.2023,02:00:00,10.75,8.5,8.5625,1507,202
f1,sep,105,23.09.2023,02:15:00,10.75,8.375,8.25,1510,202
f1,sep,106,23.09.2023,02:30:00,10.6875,8.0625,7.9375,1542,202
f1,sep,107,23.09.2023,02:45:00,10.625,7.9375,7.75,1569,202
f1,sep,108,23.09.2023,03:00:00,10.5625,7.625,7.4375,1575,202
f1,sep,109,23.09.2023,03:15:00,10.5,7.5,7.375,1579,202
f1,sep,110,23.09.2023,03:30:00,10.4375,7.4375,7.25,1581,202
f1,sep,111,23.09.2023,03:45:00,10.375,7.5,7.375,1582,202
f1,sep,112,23.09.2023,04:00:00,10.375,7.5,7.4375,1582,202
f1,sep,113,23.09.2023,04:15:00,10.3125,7.4375,7.5,1584,202
f1,sep,114,23.09.2023,04:30:00,10.25,7.3125,7.25,1590,202
f1,sep,115,23.09.2023,04:45:00,10.25,7.375,7.25,1591,202
f1,sep,116,23.09.2023,05:00:00,10.1875,7.375,7.25,1593,202
f1,sep,117,23.09.2023,05:15:00,10.125,7.3125,7.125,1594,202
f1,sep,118,23.09.2023,05:30:00,10.125,7.4375,7.125,1594,202
f1,sep,119,23.09.2023,05:45:00,10.125,7.4375,7.125,1595,202
f1,sep,120,23.09.2023,06:00:00,10.0625,7.5,7.25,1595,202
f1,sep,121,23.09.2023,06:15:00,10.0625,7.5,7.125,1595,202
f1,sep,122,23.09.2023,06:30:00,10.0625,7.5,7.1875,1595,202
f1,sep,123,23.09.2023,06:45:00,10,7.625,7.375,1595,202
f1,sep,124,23.09.2023,07:00:00,10,7.9375,7.6875,1595,202
f1,sep,125,23.09.2023,07:15:00,10.0625,8.25,8,1596,202
f1,sep,126,23.09.2023,07:30:00,10.125,8.625,8.375,1596,202
f1,sep,127,23.09.2023,07:45:00,10.1875,9.1875,9,1598,202
