plot,dagger,month,mean_soil_temp,min_soil_temp,max_soil_temp,range_soil_temp,mean_surface_temp,min_surface_temp,max_surface_temp,range_surface_temp,mean_air_temp,min_air_temp,max_air_temp,range_air_temp,sd_soil_temp,sd_surface_temp,sd_air_temp,mean_soil_moisture,min_soil_moisture,max_soil_moisture,range_soil_moisture,sd_soil_moisture
1,f1,nov,4.302758621,1,9.375,8.375,3.510517241,-3.1875,11.375,14.5625,4.115086207,-3.5625,12,15.5625,2.503109457,3.940973068,4.046753348,2096.812414,1859,2712,853,128.8130283
1,f1,oct,7.886230469,4.1875,10,5.8125,7.624511719,0.125,13.25,13.125,7.973795573,-0.25,14.625,14.875,1.312333531,2.336875733,2.344261944,2094.567708,1812,3157,1345,247.213125
1,f1,sep,11.89577415,9.25,14.375,5.125,11.8959517,5.75,19.5,13.75,12.23987926,5.6875,19.125,13.4375,1.160979839,2.636598544,2.552493364,1817.992898,1395,2406,1011,186.0850498
4,f2,nov,4.290258621,0.875,9.625,8.75,3.677672414,-2.875,11.5,14.375,4.114913793,-3.5625,12,15.5625,2.625337253,3.950385385,3.984760143,2583.44,2279,2923,644,133.8205209
4,f2,oct,8.036458333,3.625,10.625,7,7.836832682,0,14,14,7.941975911,0,13.8125,13.8125,1.465054049,2.449654607,2.191296367,2605.015625,2403,3099,696,155.5023395
4,f2,sep,11.91441761,8.375,14.75,6.375,11.94566761,5.6875,19.0625,13.375,12.19140625,5.75,18.625,12.875,1.289731252,2.588479159,2.476439534,2094.855114,1677,2418,741,154.2833717
6,f3,nov,4.017068966,0.625,9.5625,8.9375,3.639655172,-2.75,11.5,14.25,4.024310345,-3.0625,11.875,14.9375,2.714363608,3.976836784,3.90709888,2669.750345,2232,3153,921,197.3427614
6,f3,oct,7.850260417,3.6875,10.5625,6.875,7.818929036,0.4375,14.0625,13.625,7.825195313,0.5,13.625,13.125,1.462825816,2.462229833,2.122731927,2608.548177,2279,3279,1000,277.5713123
6,f3,sep,11.86576705,9,14.625,5.625,11.92862216,5.875,19.5,13.625,12.08398438,6,18.625,12.625,1.284811833,2.668147093,2.489121973,2524.284091,2105,3324,1219,219.5148057
2,m1,nov,4.279396552,0.75,9.5,8.75,3.388189655,-3.4375,11.3125,14.75,4.005431034,-3.8125,11.875,15.6875,2.581604322,4.05660079,4.146210123,2491.387586,2086,3140,1054,166.4596831
2,m1,oct,7.857991536,3.625,10.75,7.125,7.634684245,-0.5625,14.625,15.1875,7.924316406,-0.375,14.1875,14.5625,1.483997861,2.622247969,2.37825061,2518.127604,2254,3496,1242,237.1967961
2,m1,sep,11.81036932,8.75,14.75,6,11.90891335,5.3125,19.625,14.3125,12.24911222,5.5625,19.125,13.5625,1.314607005,2.748563735,2.538113913,2182.366477,1641,2849,1208,250.5544334
3,m2,nov,4.377241379,0.875,9.5,8.625,3.627844828,-3.25,11.375,14.625,3.84362069,-4.1875,11.8125,16,2.531301228,3.863153492,4.068364105,2477.182069,2310,2711,401,79.392879
3,m2,oct,7.82405599,3.5,10.25,6.75,7.744791667,-0.5,13.875,14.375,7.889078776,-0.375,13.625,14,1.456849858,2.50228329,2.233928311,2468.56901,2269,3020,751,159.421511
3,m2,sep,11.73535156,8.625,14.5625,5.9375,11.9699929,5.5,19.375,13.875,12.19025213,5.625,18.625,13,1.337463541,2.672209057,2.482566834,2010.46733,1655,2336,681,160.7477515
5,m3,nov,4.222931034,0.75,9.625,8.875,3.401293103,-3.375,11.375,14.75,4.121982759,-3.25,11.9375,15.1875,2.626553413,3.99768518,3.947608614,2581.628966,2195,2975,780,148.2598379
5,m3,oct,7.859130859,3.75,10.5,6.75,7.635253906,-0.125,13.5625,13.6875,7.991536458,0.375,14,13.625,1.459168793,2.411042948,2.143883138,2530.654948,2324,3215,891,160.9086874
5,m3,sep,11.74138849,8.6875,14.625,5.9375,11.82120028,5.5,19.3125,13.8125,12.23650568,6,18.875,12.875,1.315330541,2.664452764,2.497857792,1805.71733,1396,2318,922,212.7480988
