,vwc,month,dagger,date,time
1,0.168137379,sep,f1,22.09.2023,16:00:00
2,0.168137379,sep,f1,22.09.2023,16:15:00
3,0.168981694,sep,f1,22.09.2023,16:30:00
4,0.170337244,sep,f1,22.09.2023,16:45:00
5,0.172466725,sep,f1,22.09.2023,17:00:00
6,0.174826039,sep,f1,22.09.2023,17:15:00
7,0.176109438,sep,f1,22.09.2023,17:30:00
8,0.177414059,sep,f1,22.09.2023,17:45:00
9,0.178275781,sep,f1,22.09.2023,18:00:00
10,0.178927312,sep,f1,22.09.2023,18:15:00
11,0.180019975,sep,f1,22.09.2023,18:30:00
12,0.180483416,sep,f1,22.09.2023,18:45:00
13,0.181133991,sep,f1,22.09.2023,19:00:00
14,0.181806416,sep,f1,22.09.2023,19:15:00
15,0.182247152,sep,f1,22.09.2023,19:30:00
16,0.182709857,sep,f1,22.09.2023,19:45:00
17,0.18294115,sep,f1,22.09.2023,20:00:00
18,0.183172404,sep,f1,22.09.2023,20:15:00
19,0.183590645,sep,f1,22.09.2023,20:30:00
20,0.183821793,sep,f1,22.09.2023,20:45:00
21,0.184261918,sep,f1,22.09.2023,21:00:00
22,0.184888803,sep,f1,22.09.2023,21:15:00
23,0.186811985,sep,f1,22.09.2023,21:30:00
24,0.186185854,sep,f1,22.09.2023,21:45:00
25,0.186603301,sep,f1,22.09.2023,22:00:00
26,0.187042614,sep,f1,22.09.2023,22:15:00
27,0.187481796,sep,f1,22.09.2023,22:30:00
28,0.187690362,sep,f1,22.09.2023,22:45:00
29,0.188359766,sep,f1,22.09.2023,23:00:00
30,0.188776632,sep,f1,22.09.2023,23:15:00
31,0.188820474,sep,f1,22.09.2023,23:30:00
32,0.189467438,sep,f1,22.09.2023,23:45:00
33,0.189884002,sep,f1,23.09.2023,00:00:00
34,0.190136008,sep,f1,23.09.2023,00:15:00
35,0.1907824,sep,f1,23.09.2023,00:30:00
36,0.190990517,sep,f1,23.09.2023,00:45:00
37,0.191220458,sep,f1,23.09.2023,01:00:00
38,0.191636547,sep,f1,23.09.2023,01:15:00
39,0.191866382,sep,f1,23.09.2023,01:30:00
40,0.1922823,sep,f1,23.09.2023,01:45:00
41,0.192490219,sep,f1,23.09.2023,02:00:00
42,0.193113817,sep,f1,23.09.2023,02:15:00
43,0.199772269,sep,f1,23.09.2023,02:30:00
44,0.205372256,sep,f1,23.09.2023,02:45:00
45,0.206630662,sep,f1,23.09.2023,03:00:00
46,0.20747615,sep,f1,23.09.2023,03:15:00
47,0.207909391,sep,f1,23.09.2023,03:30:00
48,0.208136636,sep,f1,23.09.2023,03:45:00
49,0.208136636,sep,f1,23.09.2023,04:00:00
50,0.208569674,sep,f1,23.09.2023,04:15:00
51,0.209825416,sep,f1,23.09.2023,04:30:00
52,0.210031058,sep,f1,23.09.2023,04:45:00
53,0.21046354,sep,f1,23.09.2023,05:00:00
54,0.210690366,sep,f1,23.09.2023,05:15:00
55,0.210690366,sep,f1,23.09.2023,05:30:00
56,0.21089589,sep,f1,23.09.2023,05:45:00
57,0.210917153,sep,f1,23.09.2023,06:00:00
58,0.210917153,sep,f1,23.09.2023,06:15:00
59,0.210917153,sep,f1,23.09.2023,06:30:00
60,0.210938417,sep,f1,23.09.2023,06:45:00
61,0.210938417,sep,f1,23.09.2023,07:00:00
62,0.211122644,sep,f1,23.09.2023,07:15:00
63,0.211101387,sep,f1,23.09.2023,07:30:00
64,0.211491057,sep,f1,23.09.2023,07:45:00
65,0.211469811,sep,f1,23.09.2023,08:00:00
66,0.211632761,sep,f1,23.09.2023,08:15:00
67,0.211384826,sep,f1,23.09.2023,08:30:00
68,0.211136838,sep,f1,23.09.2023,08:45:00
69,0.211321084,sep,f1,23.09.2023,09:00:00
70,0.211484073,sep,f1,23.09.2023,09:15:00
71,0.211214841,sep,f1,23.09.2023,09:30:00
72,0.211172342,sep,f1,23.09.2023,09:45:00
73,0.210924287,sep,f1,23.09.2023,10:00:00
74,0.210881774,sep,f1,23.09.2023,10:15:00
75,0.210633653,sep,f1,23.09.2023,10:30:00
76,0.210981083,sep,f1,23.09.2023,10:45:00
77,0.210257852,sep,f1,23.09.2023,11:00:00
78,0.208937967,sep,f1,23.09.2023,11:15:00
79,0.208277553,sep,f1,23.09.2023,11:30:00
80,0.208028898,sep,f1,23.09.2023,11:45:00
81,0.207595477,sep,f1,23.09.2023,12:00:00
82,0.20778019,sep,f1,23.09.2023,12:15:00
83,0.20753143,sep,f1,23.09.2023,12:30:00
84,0.207055116,sep,f1,23.09.2023,12:45:00
85,0.20662137,sep,f1,23.09.2023,13:00:00
86,0.208888163,sep,f1,23.09.2023,13:15:00
87,0.209094076,sep,f1,23.09.2023,13:30:00
88,0.208433618,sep,f1,23.09.2023,13:45:00
89,0.208021582,sep,f1,23.09.2023,14:00:00
90,0.207218548,sep,f1,23.09.2023,14:15:00
91,0.206806205,sep,f1,23.09.2023,14:30:00
92,0.206187492,sep,f1,23.09.2023,14:45:00
93,0.204329918,sep,f1,23.09.2023,15:00:00
94,0.203318477,sep,f1,23.09.2023,15:15:00
95,0.20294811,sep,f1,23.09.2023,15:30:00
96,0.202327938,sep,f1,23.09.2023,15:45:00
97,0.201750573,sep,f1,23.09.2023,16:00:00
98,0.20112996,sep,f1,23.09.2023,16:15:00
99,0.20096613,sep,f1,23.09.2023,16:30:00
100,0.200366801,sep,f1,23.09.2023,16:45:00
101,0.198109845,sep,f1,23.09.2023,17:00:00
102,0.197738514,sep,f1,23.09.2023,17:15:00
103,0.197323811,sep,f1,23.09.2023,17:30:00
104,0.19697401,sep,f1,23.09.2023,17:45:00
105,0.196624175,sep,f1,23.09.2023,18:00:00
106,0.196252613,sep,f1,23.09.2023,18:15:00
107,0.196295997,sep,f1,23.09.2023,18:30:00
108,0.195924402,sep,f1,23.09.2023,18:45:00
109,0.195989512,sep,f1,23.09.2023,19:00:00
110,0.196240388,sep,f1,23.09.2023,19:15:00
111,0.196491212,sep,f1,23.09.2023,19:30:00
112,0.196305475,sep,f1,23.09.2023,19:45:00
113,0.19632717,sep,f1,23.09.2023,20:00:00
114,0.196348865,sep,f1,23.09.2023,20:15:00
115,0.196556278,sep,f1,23.09.2023,20:30:00
116,0.196785347,sep,f1,23.09.2023,20:45:00
117,0.196577966,sep,f1,23.09.2023,21:00:00
118,0.196807029,sep,f1,23.09.2023,21:15:00
119,0.196599654,sep,f1,23.09.2023,21:30:00
120,0.196621342,sep,f1,23.09.2023,21:45:00
121,0.196643029,sep,f1,23.09.2023,22:00:00
122,0.19643564,sep,f1,23.09.2023,22:15:00
123,0.19643564,sep,f1,23.09.2023,22:30:00
124,0.196042489,sep,f1,23.09.2023,22:45:00
125,0.195649257,sep,f1,23.09.2023,23:00:00
126,0.195649257,sep,f1,23.09.2023,23:15:00
127,0.195856739,sep,f1,23.09.2023,23:30:00
128,0.197308372,sep,f1,23.09.2023,23:45:00
129,0.201035176,sep,f1,24.09.2023,00:00:00
130,0.203764364,sep,f1,24.09.2023,00:15:00
131,0.22284945,sep,f1,24.09.2023,00:30:00
132,0.253548509,sep,f1,24.09.2023,00:45:00
133,0.25933596,sep,f1,24.09.2023,01:00:00
