month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
nov,5856,22.11.2023,00:00:00,6,6.5,7,2132,202
nov,5857,22.11.2023,00:15:00,6,6.5,6.875,2131,202
nov,5858,22.11.2023,00:30:00,6,6.625,7,2131,202
nov,5859,22.11.2023,00:45:00,6,6.625,7.0625,2131,202
nov,5860,22.11.2023,01:00:00,6,6.75,7.25,2130,202
nov,5861,22.11.2023,01:15:00,6.0625,7,7.4375,2130,202
nov,5862,22.11.2023,01:30:00,6.125,7.125,7.625,2130,202
nov,5863,22.11.2023,01:45:00,6.125,7.25,7.625,2129,202
nov,5864,22.11.2023,02:00:00,6.1875,7.1875,7.5,2128,202
nov,5865,22.11.2023,02:15:00,6.25,7.125,7.25,2128,202
nov,5866,22.11.2023,02:30:00,6.25,7.25,7.75,2128,202
nov,5867,22.11.2023,02:45:00,6.25,7.6875,8.125,2129,202
nov,5868,22.11.2023,03:00:00,6.375,7.4375,7.6875,2129,202
nov,5869,22.11.2023,03:15:00,6.375,7.625,8,2129,202
nov,5870,22.11.2023,03:30:00,6.4375,8.0625,8.625,2129,202
nov,5871,22.11.2023,03:45:00,6.5,8.125,8.625,2130,202
nov,5872,22.11.2023,04:00:00,6.5,8.125,8.625,2129,202
nov,5873,22.11.2023,04:15:00,6.5625,8.125,8.75,2129,202
nov,5874,22.11.2023,04:30:00,6.625,8.1875,8.875,2129,202
nov,5875,22.11.2023,04:45:00,6.625,8.375,9.125,2129,202
nov,5876,22.11.2023,05:00:00,6.6875,8.375,9,2128,202
nov,5877,22.11.2023,05:15:00,6.75,8.375,9,2127,202
nov,5878,22.11.2023,05:30:00,6.75,8.25,9,2127,202
nov,5879,22.11.2023,05:45:00,6.75,8.375,9.125,2126,202
nov,5880,22.11.2023,06:00:00,6.8125,8.4375,9.1875,2126,202
nov,5881,22.11.2023,06:15:00,6.8125,8.625,9.1875,2126,202
nov,5882,22.11.2023,06:30:00,6.875,8.5625,9.25,2126,202
nov,5883,22.11.2023,06:45:00,6.875,8.625,9.25,2126,202
nov,5884,22.11.2023,07:00:00,6.9375,8.8125,9.3125,2127,202
nov,5885,22.11.2023,07:15:00,7,8.875,9.25,2126,202
nov,5886,22.11.2023,07:30:00,7,9.125,9.75,2127,202
nov,5887,22.11.2023,07:45:00,7.125,9,9.375,2127,202
nov,5888,22.11.2023,08:00:00,7.125,9.1875,9.6875,2128,202
nov,5889,22.11.2023,08:15:00,7.1875,9.5,10.3125,2130,202
nov,5890,22.11.2023,08:30:00,7.25,9.5625,10,2131,202
nov,5891,22.11.2023,08:45:00,7.375,9.75,10.375,2131,202
nov,5892,22.11.2023,09:00:00,7.375,10,10.5625,2131,202
nov,5893,22.11.2023,09:15:00,7.5,10.0625,10.625,2131,202
nov,5894,22.11.2023,09:30:00,7.5625,10.0625,10.5,2131,202
nov,5895,22.11.2023,09:45:00,7.625,10.125,10.6875,2132,202
nov,5896,22.11.2023,10:00:00,7.6875,10.4375,11,2131,202
nov,5897,22.11.2023,10:15:00,7.75,10.625,11.125,2132,202
nov,5898,22.11.2023,10:30:00,7.875,10.8125,11.4375,2127,202
nov,5899,22.11.2023,10:45:00,7.9375,11,11.625,2126,202
nov,5900,22.11.2023,11:00:00,8,11,11.5,2125,202
nov,5901,22.11.2023,11:15:00,8.125,10.75,11.25,2125,202
nov,5902,22.11.2023,11:30:00,8.125,10.6875,11.25,2132,202
nov,5903,22.11.2023,11:45:00,8.25,10.875,11.375,2132,202
nov,5904,22.11.2023,12:00:00,8.25,11,11.375,2129,202
nov,5905,22.11.2023,12:15:00,8.375,10.875,11.3125,2127,202
nov,5906,22.11.2023,12:30:00,8.375,10.75,11.125,2127,202
nov,5907,22.11.2023,12:45:00,8.5,10.75,11.0625,2126,202
nov,5908,22.11.2023,13:00:00,8.5,11,11.5625,2125,202
nov,5909,22.11.2023,13:15:00,8.5625,11.25,11.75,2124,202
nov,5910,22.11.2023,13:30:00,8.625,11.25,11.5,2123,202
nov,5911,22.11.2023,13:45:00,8.625,11.125,11.5,2122,202
