month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
oct,2880,22.10.2023,00:00:00,5.875,3.75,4.6875,1996,0
oct,2881,22.10.2023,00:15:00,5.875,3.5,4.5,1994,202
oct,2882,22.10.2023,00:30:00,5.8125,4,4.875,1995,202
oct,2883,22.10.2023,00:45:00,5.75,4.25,5,1995,202
oct,2884,22.10.2023,01:00:00,5.75,3.5625,4.375,1992,202
oct,2885,22.10.2023,01:15:00,5.75,3.25,4.125,1989,202
oct,2886,22.10.2023,01:30:00,5.6875,3.125,4.0625,1988,202
oct,2887,22.10.2023,01:45:00,5.625,3.25,4.25,1987,202
oct,2888,22.10.2023,02:00:00,5.625,3.75,4.8125,1987,202
oct,2889,22.10.2023,02:15:00,5.5625,3.875,4.875,1985,202
oct,2890,22.10.2023,02:30:00,5.5625,3.875,4.8125,1985,202
oct,2891,22.10.2023,02:45:00,5.5,4.125,5.125,1983,202
oct,2892,22.10.2023,03:00:00,5.5,4.0625,5.0625,1982,202
oct,2893,22.10.2023,03:15:00,5.5,4.125,5.125,1981,202
oct,2894,22.10.2023,03:30:00,5.5,4.1875,5.0625,1980,202
oct,2895,22.10.2023,03:45:00,5.5,4.25,5.25,1979,202
oct,2896,22.10.2023,04:00:00,5.4375,4.5,5.5,1978,202
oct,2897,22.10.2023,04:15:00,5.4375,4.4375,5.375,1978,202
oct,2898,22.10.2023,04:30:00,5.375,4.25,5.25,1976,202
oct,2899,22.10.2023,04:45:00,5.375,4.125,5.125,1977,202
oct,2900,22.10.2023,05:00:00,5.375,4.3125,5.25,1976,202
oct,2901,22.10.2023,05:15:00,5.375,4.125,5,1974,202
oct,2902,22.10.2023,05:30:00,5.375,4.25,5.125,1974,202
oct,2903,22.10.2023,05:45:00,5.375,4.5,5.375,1974,202
oct,2904,22.10.2023,06:00:00,5.375,4.375,5.25,1973,202
oct,2905,22.10.2023,06:15:00,5.375,4.1875,5.0625,1973,202
oct,2906,22.10.2023,06:30:00,5.375,4,5,1971,202
oct,2907,22.10.2023,06:45:00,5.375,3.625,4.625,1970,202
oct,2908,22.10.2023,07:00:00,5.3125,3.625,4.625,1969,202
oct,2909,22.10.2023,07:15:00,5.3125,4.25,5.8125,1969,202
oct,2910,22.10.2023,07:30:00,5.3125,4.5,6.4375,1969,202
oct,2911,22.10.2023,07:45:00,5.3125,4.75,6.75,1968,202
oct,2912,22.10.2023,08:00:00,5.3125,5.625,8.375,1969,202
oct,2913,22.10.2023,08:15:00,5.3125,6.125,9.0625,1969,202
oct,2914,22.10.2023,08:30:00,5.375,6.625,9.75,1969,202
oct,2915,22.10.2023,08:45:00,5.375,7,10.75,1970,202
oct,2916,22.10.2023,09:00:00,5.5,7.4375,11.125,1970,202
oct,2917,22.10.2023,09:15:00,5.5,8.125,12,1971,202
oct,2918,22.10.2023,09:30:00,5.625,8.8125,12.375,1971,202
oct,2919,22.10.2023,09:45:00,5.75,9.1875,12.875,1972,202
oct,2920,22.10.2023,10:00:00,5.875,9.5,12.5,1972,202
oct,2921,22.10.2023,10:15:00,6,10.125,13.25,1972,202
oct,2922,22.10.2023,10:30:00,6.125,10.5625,13.5,1972,202
oct,2923,22.10.2023,10:45:00,6.25,10.875,12.75,1972,202
oct,2924,22.10.2023,11:00:00,6.5,11.3125,13.5625,1973,202
oct,2925,22.10.2023,11:15:00,6.625,11.375,13.5625,1972,202
oct,2926,22.10.2023,11:30:00,6.8125,11.375,13,1971,202
oct,2927,22.10.2023,11:45:00,7,11.875,13.5,1971,202
oct,2928,22.10.2023,12:00:00,7.1875,11.875,13.375,1969,202
oct,2929,22.10.2023,12:15:00,7.375,12.1875,13.375,1968,202
oct,2930,22.10.2023,12:30:00,7.5625,12.375,13.625,1966,202
oct,2931,22.10.2023,12:45:00,7.75,12.1875,13.125,1963,202
oct,2932,22.10.2023,13:00:00,7.875,12.625,13.75,1961,202
oct,2933,22.10.2023,13:15:00,8,11.625,12.125,1958,202
oct,2934,22.10.2023,13:30:00,8.125,12.375,13.5,1955,202
oct,2935,22.10.2023,13:45:00,8.25,13.25,14.625,1955,202
oct,2936,22.10.2023,14:00:00,8.375,11.5625,12.25,1951,202
oct,2937,22.10.2023,14:15:00,8.5,12.125,13.3125,1948,202
oct,2938,22.10.2023,14:30:00,8.5,12.0625,13.3125,1946,202
oct,2939,22.10.2023,14:45:00,8.5625,12.25,13.875,1943,202
oct,2940,22.10.2023,15:00:00,8.625,11.75,13.25,1940,202
oct,2941,22.10.2023,15:15:00,8.625,11.1875,12.75,1938,202
oct,2942,22.10.2023,15:30:00,8.625,10.875,12.9375,1935,202
oct,2943,22.10.2023,15:45:00,8.625,9.375,11,1932,202
oct,2944,22.10.2023,16:00:00,8.5625,7.125,7.75,1927,202
oct,2945,22.10.2023,16:15:00,8.5,6.125,6.75,1924,202
oct,2946,22.10.2023,16:30:00,8.375,5.5,5.9375,1921,202
oct,2947,22.10.2023,16:45:00,8.25,5,5.5625,1919,202
oct,2948,22.10.2023,17:00:00,8.125,4.875,5.625,1917,202
oct,2949,22.10.2023,17:15:00,8,4.75,5.4375,1915,202
oct,2950,22.10.2023,17:30:00,7.875,4.875,5.6875,1912,202
oct,2951,22.10.2023,17:45:00,7.75,4.625,5.375,1910,202
oct,2952,22.10.2023,18:00:00,7.625,4.375,5.0625,1907,202
oct,2953,22.10.2023,18:15:00,7.5,4.5,5.375,1906,202
oct,2954,22.10.2023,18:30:00,7.375,4.375,5.125,1905,202
oct,2955,22.10.2023,18:45:00,7.25,4.375,5.1875,1904,202
oct,2956,22.10.2023,19:00:00,7.125,3.625,3.875,1900,202
oct,2957,22.10.2023,19:15:00,7,3.875,4.6875,1899,202
oct,2958,22.10.2023,19:30:00,6.9375,4.125,5.125,1899,202
oct,2959,22.10.2023,19:45:00,6.875,3.875,4.625,1898,202
oct,2960,22.10.2023,20:00:00,6.75,3.25,3.5625,1895,202
oct,2961,22.10.2023,20:15:00,6.6875,2.9375,3.125,1894,202
oct,2962,22.10.2023,20:30:00,6.625,2.9375,3.375,1895,202
oct,2963,22.10.2023,20:45:00,6.5,2.75,3,1891,202
