dagger,month,,date,time,soil_temp,surfacetemp,air_temp,hu,?
m1,sep,105585,22.09.2023,00:00:00,18.25,18.375,18.375,530,202
m1,sep,105586,22.09.2023,00:15:00,18.25,18.375,18.3125,530,202
m1,sep,105587,22.09.2023,00:30:00,18.25,18.3125,18.25,530,202
m1,sep,105588,22.09.2023,00:45:00,18.125,18.25,18.25,529,202
m1,sep,105589,22.09.2023,01:00:00,18.125,18.25,18.125,529,202
m1,sep,105590,22.09.2023,01:15:00,18.125,18.1875,18.125,529,202
m1,sep,105591,22.09.2023,01:30:00,18.0625,18.125,18.125,529,202
m1,sep,105592,22.09.2023,01:45:00,18,18.125,18.0625,529,202
m1,sep,105593,22.09.2023,02:00:00,18,18.125,18,529,202
m1,sep,105594,22.09.2023,02:15:00,18,18.0625,18,528,202
m1,sep,105595,22.09.2023,02:30:00,18,18,18,528,202
m1,sep,105596,22.09.2023,02:45:00,17.9375,18,17.9375,528,202
m1,sep,105597,22.09.2023,03:00:00,17.9375,18,17.9375,528,202
m1,sep,105598,22.09.2023,03:15:00,17.9375,18,17.875,528,202
m1,sep,105599,22.09.2023,03:30:00,17.875,18,17.875,528,202
m1,sep,105600,22.09.2023,03:45:00,17.875,18,17.875,528,202
m1,sep,105601,22.09.2023,04:00:00,17.875,17.9375,17.875,528,202
m1,sep,105602,22.09.2023,04:15:00,17.875,17.9375,17.875,528,202
m1,sep,105603,22.09.2023,04:30:00,17.875,17.875,17.875,528,202
m1,sep,105604,22.09.2023,04:45:00,17.875,17.875,17.875,528,202
m1,sep,105605,22.09.2023,05:00:00,17.8125,17.875,17.8125,527,202
m1,sep,105606,22.09.2023,05:15:00,17.8125,17.875,17.75,527,202
m1,sep,105607,22.09.2023,05:30:00,17.75,17.875,17.75,527,202
m1,sep,105608,22.09.2023,05:45:00,17.75,17.8125,17.75,527,202
m1,sep,105609,22.09.2023,06:00:00,17.75,17.8125,17.75,527,202
m1,sep,105610,22.09.2023,06:15:00,17.75,17.8125,17.75,527,202
m1,sep,105611,22.09.2023,06:30:00,17.75,17.75,17.75,527,202
m1,sep,105612,22.09.2023,06:45:00,17.75,17.75,17.75,527,202
m1,sep,105613,22.09.2023,07:00:00,17.75,17.75,17.75,527,202
m1,sep,105614,22.09.2023,07:15:00,17.75,17.8125,17.75,527,202
m1,sep,105615,22.09.2023,07:30:00,17.8125,17.8125,17.75,527,202
m1,sep,105616,22.09.2023,07:45:00,17.875,17.875,17.875,527,202
m1,sep,105617,22.09.2023,08:00:00,17.9375,17.875,17.875,528,202
m1,sep,105618,22.09.2023,08:15:00,17.9375,17.9375,17.875,528,202
m1,sep,105619,22.09.2023,08:30:00,17.9375,17.9375,17.875,528,202
m1,sep,105620,22.09.2023,08:45:00,17.875,17.9375,17.875,528,202
m1,sep,105621,22.09.2023,09:00:00,18,18,18,501,202
m1,sep,105622,22.09.2023,09:15:00,16,17.375,16.8125,706,202
m1,sep,105623,22.09.2023,09:30:00,15.125,16.625,16.125,713,202
m1,sep,105624,22.09.2023,09:45:00,15.125,16.3125,15.875,706,202
m1,sep,105625,22.09.2023,10:00:00,15.125,16.0625,15.6875,703,202
m1,sep,105626,22.09.2023,10:15:00,15.0625,15.875,15.75,703,202
m1,sep,105627,22.09.2023,10:30:00,15,15.75,15.75,703,202
m1,sep,105628,22.09.2023,10:45:00,15.125,15.625,15.6875,582,202
m1,sep,105629,22.09.2023,11:00:00,15,15.5,15.3125,582,202
m1,sep,105630,22.09.2023,11:15:00,15.125,15.25,15,676,202
m1,sep,105631,22.09.2023,11:30:00,15.125,15.125,14.6875,588,202
m1,sep,105632,22.09.2023,11:45:00,15,15,14.4375,662,202
m1,sep,105633,22.09.2023,12:00:00,15,14.9375,14.625,690,202
m1,sep,105634,22.09.2023,12:15:00,15,14.875,14.625,689,202
m1,sep,105635,22.09.2023,12:30:00,14.9375,15.0625,15.375,870,202
m1,sep,105636,22.09.2023,12:45:00,15.1875,15.5625,16.625,709,202
m1,sep,105637,22.09.2023,13:00:00,15.375,16.125,17.375,709,202
m1,sep,105638,22.09.2023,13:15:00,15.625,16.5,17.875,711,202
m1,sep,105639,22.09.2023,13:30:00,15.375,17,18.5,762,202
m1,sep,105640,22.09.2023,13:45:00,15.875,17.625,19.25,674,202
m1,sep,105641,22.09.2023,14:00:00,16.1875,18.0625,19.75,676,202
m1,sep,105642,22.09.2023,14:15:00,16.375,18.375,19.8125,677,202
m1,sep,105643,22.09.2023,14:30:00,16.5,18.5625,19.75,677,202
m1,sep,105644,22.09.2023,14:45:00,16.625,18.625,19.5625,677,202
m1,sep,105645,22.09.2023,15:00:00,16.75,18.625,19.375,677,202
m1,sep,105646,22.09.2023,15:15:00,16.75,18.5625,19.125,677,202
m1,sep,105647,22.09.2023,15:30:00,16.875,18.5,18.9375,676,202
m1,sep,105648,22.09.2023,15:45:00,16.875,18.375,18.75,675,202
m1,sep,105649,22.09.2023,16:00:00,16.625,18.25,18.5,679,202
m1,sep,105650,22.09.2023,16:15:00,13.6875,17.0625,15.75,1641,202
m1,sep,105651,22.09.2023,16:30:00,13.3125,12.8125,12.5,1645,202
m1,sep,105652,22.09.2023,16:45:00,13,11.375,11.25,1650,202
m1,sep,105653,22.09.2023,17:00:00,12.875,11.25,11.25,1657,202
m1,sep,105654,22.09.2023,17:15:00,12.75,11,11.4375,1663,202
m1,sep,105655,22.09.2023,17:30:00,12.625,10.9375,11.375,1667,202
m1,sep,105656,22.09.2023,17:45:00,12.5,11.125,11.4375,1672,202
m1,sep,105657,22.09.2023,18:00:00,12.375,11,11.3125,1676,202
m1,sep,105658,22.09.2023,18:15:00,12.3125,10.75,11.1875,1679,202
m1,sep,105659,22.09.2023,18:30:00,12.1875,10.5,11,1682,202
m1,sep,105660,22.09.2023,18:45:00,12.125,10.125,10.9375,1685,202
m1,sep,105661,22.09.2023,19:00:00,11.9375,10,10.75,1688,202
m1,sep,105662,22.09.2023,19:15:00,11.875,10.0625,10.75,1691,202
m1,sep,105663,22.09.2023,19:30:00,11.75,10.5,11.375,1694,202
m1,sep,105664,22.09.2023,19:45:00,11.625,10.625,11.25,1696,202
m1,sep,105665,22.09.2023,20:00:00,11.625,10.625,11.125,1699,202
m1,sep,105666,22.09.2023,20:15:00,11.5,10.4375,10.8125,1701,202
m1,sep,105667,22.09.2023,20:30:00,11.5,10.375,10.75,1703,202
m1,sep,105668,22.09.2023,20:45:00,11.5,10.125,10.375,1705,202
m1,sep,105669,22.09.2023,21:00:00,11.4375,9.875,10.125,1706,202
m1,sep,105670,22.09.2023,21:15:00,11.375,10,10.25,1709,202
m1,sep,105671,22.09.2023,21:30:00,11.375,9.875,10.0625,1712,202
m1,sep,105672,22.09.2023,21:45:00,11.375,9.875,10,1714,202
m1,sep,105673,22.09.2023,22:00:00,11.3125,9.75,9.875,1716,202
m1,sep,105674,22.09.2023,22:15:00,11.25,9.5625,9.75,1717,202
m1,sep,105675,22.09.2023,22:30:00,11.1875,9.75,10,1719,202
