month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
sep,119104,22.09.2023,00:00:00,18.25,18.5,18.25,636,202
,119105,22.09.2023,00:15:00,18.25,18.375,18.25,636,202
,119106,22.09.2023,00:30:00,18.1875,18.375,18.25,636,202
,119107,22.09.2023,00:45:00,18.125,18.3125,18.125,635,202
,119108,22.09.2023,01:00:00,18.125,18.25,18.125,635,202
,119109,22.09.2023,01:15:00,18.0625,18.25,18.125,635,202
,119110,22.09.2023,01:30:00,18,18.25,18.0625,635,202
,119111,22.09.2023,01:45:00,18,18.1875,18,635,202
,119112,22.09.2023,02:00:00,18,18.125,18,635,202
,119113,22.09.2023,02:15:00,17.9375,18.125,17.9375,635,202
,119114,22.09.2023,02:30:00,17.9375,18.125,17.875,634,202
,119115,22.09.2023,02:45:00,17.875,18.0625,17.875,634,202
,119116,22.09.2023,03:00:00,17.875,18.0625,17.875,634,202
,119117,22.09.2023,03:15:00,17.875,18.0625,17.875,634,202
,119118,22.09.2023,03:30:00,17.875,18,17.875,634,202
,119119,22.09.2023,03:45:00,17.875,18,17.875,634,202
,119120,22.09.2023,04:00:00,17.875,18,17.875,634,202
,119121,22.09.2023,04:15:00,17.875,18,17.8125,634,202
,119122,22.09.2023,04:30:00,17.8125,18,17.75,634,202
,119123,22.09.2023,04:45:00,17.8125,18,17.75,634,202
,119124,22.09.2023,05:00:00,17.75,17.9375,17.75,634,202
,119125,22.09.2023,05:15:00,17.75,17.875,17.75,634,202
,119126,22.09.2023,05:30:00,17.75,17.875,17.75,634,202
,119127,22.09.2023,05:45:00,17.75,17.875,17.75,633,202
,119128,22.09.2023,06:00:00,17.75,17.875,17.6875,633,202
,119129,22.09.2023,06:15:00,17.75,17.875,17.6875,633,202
,119130,22.09.2023,06:30:00,17.75,17.875,17.6875,633,202
,119131,22.09.2023,06:45:00,17.75,17.875,17.6875,633,202
,119132,22.09.2023,07:00:00,17.75,17.875,17.75,633,202
,119133,22.09.2023,07:15:00,17.75,17.875,17.75,633,202
,119134,22.09.2023,07:30:00,17.75,17.875,17.75,634,202
,119135,22.09.2023,07:45:00,17.875,17.9375,17.8125,634,202
,119136,22.09.2023,08:00:00,17.875,18,17.875,634,202
,119137,22.09.2023,08:15:00,17.875,18,17.875,634,202
,119138,22.09.2023,08:30:00,17.875,18,17.875,634,202
,119139,22.09.2023,08:45:00,17.875,18,17.875,634,202
,119140,22.09.2023,09:00:00,18,18.125,18,842,202
,119141,22.09.2023,09:15:00,16.9375,17.625,17.4375,669,202
,119142,22.09.2023,09:30:00,15.25,17,17.375,769,202
,119143,22.09.2023,09:45:00,14.75,16.625,17.125,827,202
,119144,22.09.2023,10:00:00,14.5,16.25,16.625,824,202
,119145,22.09.2023,10:15:00,14.5,16,16.4375,824,202
,119146,22.09.2023,10:30:00,14.5,15.875,16.375,824,202
,119147,22.09.2023,10:45:00,14.5,15.75,15.875,750,202
,119148,22.09.2023,11:00:00,14.25,15.5625,15.5,730,202
,119149,22.09.2023,11:15:00,14.0625,15.375,15.5,741,202
,119150,22.09.2023,11:30:00,14.375,15.25,15.375,745,202
,119151,22.09.2023,11:45:00,14.375,15.1875,15.125,680,202
,119152,22.09.2023,12:00:00,14.625,15.125,14.75,669,202
,119153,22.09.2023,12:15:00,14.625,15,14.75,669,202
,119154,22.09.2023,12:30:00,14.875,15.25,15.625,683,202
,119155,22.09.2023,12:45:00,15.5625,16.1875,17.1875,677,202
,119156,22.09.2023,13:00:00,16.25,17,18.125,681,202
,119157,22.09.2023,13:15:00,16.625,17.625,18.625,683,202
,119158,22.09.2023,13:30:00,17,18.125,19.25,670,202
,119159,22.09.2023,13:45:00,17.5625,18.875,20,675,202
,119160,22.09.2023,14:00:00,17.875,19.375,20.375,677,202
,119161,22.09.2023,14:15:00,18,19.625,20.5,678,202
,119162,22.09.2023,14:30:00,18.125,19.75,20.5,678,202
,119163,22.09.2023,14:45:00,18.0625,19.75,20.375,678,202
,119164,22.09.2023,15:00:00,18,19.625,20.25,677,202
,119165,22.09.2023,15:15:00,17.9375,19.5,20,677,202
,119166,22.09.2023,15:30:00,17.875,19.375,19.75,676,202
,119167,22.09.2023,15:45:00,17.75,19.1875,19.5,675,202
,119168,22.09.2023,16:00:00,17.625,19,19.25,695,202
,119169,22.09.2023,16:15:00,13.75,17.25,15.875,1655,202
,119170,22.09.2023,16:30:00,13.375,13,12.4375,1657,202
,119171,22.09.2023,16:45:00,13.125,11.375,11.125,1658,202
,119172,22.09.2023,17:00:00,12.875,11.125,11.125,1662,202
,119173,22.09.2023,17:15:00,12.75,11.0625,11.375,1665,202
,119174,22.09.2023,17:30:00,12.625,11,11.4375,1667,202
,119175,22.09.2023,17:45:00,12.5,11.25,11.375,1670,202
,119176,22.09.2023,18:00:00,12.375,11.1875,11.4375,1671,202
,119177,22.09.2023,18:15:00,12.3125,10.9375,11.25,1672,202
,119178,22.09.2023,18:30:00,12.1875,10.75,11.25,1674,202
,119179,22.09.2023,18:45:00,12.0625,10.5,11.125,1675,202
,119180,22.09.2023,19:00:00,11.9375,10.4375,11,1676,202
,119181,22.09.2023,19:15:00,11.8125,10.375,11,1677,202
,119182,22.09.2023,19:30:00,11.75,10.875,11.5,1678,202
,119183,22.09.2023,19:45:00,11.625,10.75,11.1875,1679,202
,119184,22.09.2023,20:00:00,11.5625,10.8125,11.125,1680,202
,119185,22.09.2023,20:15:00,11.5,10.625,10.875,1681,202
