dagger,month,no,date,time,soil_temp,surfacetemp,air_temp,hu,?
m3,sep,139395,22.09.2023,00:00:00,18.25,18.375,18.375,492,202
m3,sep,139396,22.09.2023,00:15:00,18.25,18.375,18.375,491,202
m3,sep,139397,22.09.2023,00:30:00,18.25,18.3125,18.3125,491,202
m3,sep,139398,22.09.2023,00:45:00,18.1875,18.25,18.25,491,202
m3,sep,139399,22.09.2023,01:00:00,18.125,18.25,18.25,491,202
m3,sep,139400,22.09.2023,01:15:00,18.125,18.25,18.1875,491,202
m3,sep,139401,22.09.2023,01:30:00,18.125,18.1875,18.125,490,202
m3,sep,139402,22.09.2023,01:45:00,18.0625,18.125,18.125,490,202
m3,sep,139403,22.09.2023,02:00:00,18,18.125,18.125,490,202
m3,sep,139404,22.09.2023,02:15:00,18,18.125,18.0625,490,202
m3,sep,139405,22.09.2023,02:30:00,18,18.0625,18,490,202
m3,sep,139406,22.09.2023,02:45:00,18,18,18,490,202
m3,sep,139407,22.09.2023,03:00:00,18,18,18,490,202
m3,sep,139408,22.09.2023,03:15:00,18,18,18,489,202
m3,sep,139409,22.09.2023,03:30:00,17.9375,18,18,489,202
m3,sep,139410,22.09.2023,03:45:00,17.9375,18,18,489,202
m3,sep,139411,22.09.2023,04:00:00,17.875,18,17.9375,489,202
m3,sep,139412,22.09.2023,04:15:00,17.875,17.9375,17.9375,489,202
m3,sep,139413,22.09.2023,04:30:00,17.875,17.9375,17.875,489,202
m3,sep,139414,22.09.2023,04:45:00,17.875,17.875,17.875,489,202
m3,sep,139415,22.09.2023,05:00:00,17.875,17.875,17.875,489,202
m3,sep,139416,22.09.2023,05:15:00,17.875,17.875,17.875,489,202
m3,sep,139417,22.09.2023,05:30:00,17.8125,17.875,17.875,489,202
m3,sep,139418,22.09.2023,05:45:00,17.75,17.875,17.8125,489,202
m3,sep,139419,22.09.2023,06:00:00,17.75,17.875,17.8125,489,202
m3,sep,139420,22.09.2023,06:15:00,17.75,17.8125,17.8125,489,202
m3,sep,139421,22.09.2023,06:30:00,17.75,17.8125,17.75,488,202
