"","nebria_brevicollis","calathus_fuscipes","loricera_pilicornis","pterostichus_strenuus","pterostichus_niger","poecilus_cupreus","harpalus_rufipes","anchomenus_dorsalis","bembidion_lampros","oxypselaphus_obscurus","notiophilus_biguttatus","trechus_obtusus","agonum_muelleri","amara_plebeja","amara_aenea","clivina_fossor","nebria_brevicollis_larvae","nebria_rufescens_larvae","amara_aenea_larvae","trechus_obtusus_larvae","pterostichus_madidus_larvae","harpalus_rufipes_larvae","oodes_helopioides_larvae","loricera_pilicornis_larvae","carabus_coriaceus_larvae","non_identifiable_carabid_larvae"
"1",32,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",46,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"5",74,0,0,0,0,0,0,0,1,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0,1
"6",49,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7",30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",32,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",38,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12",44,0,0,1,0,0,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13",86,0,0,0,1,0,0,1,1,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14",29,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",25,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"17",44,2,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18",27,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"19",46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",49,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
