x,x,x,x,common beetle,"carlus, like brevicollis but no snatched pronotum",conspicuous setae on antenna,strenuus (like loricera but antenae not hairy),"niger, like brev but 2 cm","night1 took ages,","dull, semicircle pronotum, simialr to brevicollis, slighly bigger","metallic green,  ~1cm","3-4 mm, black, shiny, dark antennae, lighter legs","oo like membidion but light bronze, 5- 6.5 mm","big eyes, 5mm",like obsurus but lighter and more obvious neck,"coppery + green, 9mm",amara plebeja - dome shaped beetle,"aenea, like other amara but has black legs completely","snatched waist, weird feet",nebria_rufescens,madidus,oodes_helopioides,"carabus_coriaceus_larvae, base of ;egs lighter, ceric same length as tube",non-identifiable
month,plot,plot_type,trap,nebria_brevicollis,calathus_fuscipes,loricera_pilicornis,pterostichus_strenuus,pterostichus_niger,poecilus_cupreus,harpalus_rufipes,anchomenus_dorsalis,bembidion_lampros,oxypselaphus_obscurus,notiophilus_biguttatus,trechus_obtusus,agonum_muelleri,amara_plebeja,amara_aenea,clivina_fossor,nebria_rufescens,pterostichus_madidus,oodes_helopioides,carabus_coriaceus,non_identifiable_carabids
september,1,fallow,pitfall_1,32,,3,2,,1,0,,,,,0,,,0,,,,,,
september,1,fallow,pitfall_2,30,,0,,,,0,,1,,,0,,,0,,,,,,
september,1,fallow,pitfall_3,22,,0,1,,,0,,,1,,0,,,0,,1,,,,
september,1,fallow,sub_1,0,,0,,,,0,,,,,0,,,0,,,,,,1
september,1,fallow,sub_2,1,,0,,,,0,,,,,2,,,0,,,,,,
september,2,mustard,pitfall_1,46,,0,2,,1,1,1,,1,,0,,,0,,,3,,,
september,2,mustard,pitfall_2,74,,0,,,,0,,1,,,6,1,,0,2,,1,,,1
september,2,mustard,pitfall_3,49,,0,,,,0,1,,,,1,,,0,,,1,,,
september,2,mustard,sub_1,0,,0,,,,0,,1,,,0,,,0,,,,,,
september,2,mustard,sub_2,0,,0,,,,0,,,,,1,,,0,,,,,,
september,3,mustard,pitfall_1,30,,0,,,,0,,,1,,0,,,0,,,,,,
september,3,mustard,pitfall_2,32,,0,1,,,0,,1,,1,0,,,0,,,,,,
september,3,mustard,pitfall_3,48,,0,,,,0,,,,,0,,,0,,,,,,
september,3,mustard,sub_1,0,,0,,,,0,,,,,1,,,0,,,,,,
september,3,mustard,sub_2,0,,0,,,,0,,,,,0,,,0,,,,,,
september,4,fallow,pitfall_1,30,,0,,,,0,,,,,0,,,0,,,,,,
september,4,fallow,pitfall_2,38,,0,,,,0,,3,3,1,0,,,0,,1,,,,
september,4,fallow,pitfall_3,44,,0,1,,,0,1,2,5,,0,,,0,,1,,,,
september,4,fallow,sub_1,0,,0,,,,0,,,1,,0,,,0,,,,,,
september,4,fallow,sub_2,0,,0,,,,0,,,,,2,,,0,,,,,,
september,5,mustard,pitfall_1,87,,0,,1,,0,1,1,2,1,8,,,0,,,,,,
september,5,mustard,pitfall_2,29,,1,1,1,,0,,,,,3,,1,0,,,,,,
september,5,mustard,pitfall_3,87,,0,,,,0,,,,,0,,,0,,,,,,
september,5,mustard,sub_1,0,,0,,,,0,,,,,0,,,0,,,,,,
september,5,mustard,sub_2,10,,0,,,,0,,1,1,,0,,,0,,,,,,
september,6,fallow,pitfall_1,25,,1,2,,,0,,,,,6,,,1,,,,,,1
september,6,fallow,pitfall_2,44,2,0,,,,0,,1,1,,3,,,1,,,,,,
september,6,fallow,pitfall_3,27,1,1,,,,0,,,,,2,,,1,,,,,,
september,6,fallow,sub_1,3,,0,,,,0,,1,,,0,,,0,,,,,,
september,6,fallow,sub_2,0,,0,,,,0,,1,,,0,,,0,,,,,,
september,7,fallow,pitfall_1,46,,0,,,,0,1,1,,,0,,,0,,,,,,
september,7,fallow,pitfall_2,50,,0,2,1,,0,,1,,,2,,,0,,,,,,
september,7,fallow,pitfall_3,21,,0,,,,0,1,,,,0,,,0,,,,,,
september,7,fallow,sub_1,1,,0,,,,1,,,,,0,,,0,,,,,,
september,7,fallow,sub_2,0,,0,,,,0,,,,,1,,,0,,,,,,
september,8,mustard,pitfall_1,34,,1,,3,,0,,1,4,,2,,,0,,,1,,,
september,8,mustard,pitfall_2,43,,1,,,,0,1,,,,3,,,1,,,,,,
september,8,mustard,pitfall_3,23,,0,,,,0,,,,,1,,,1,,,,,,
september,8,mustard,sub_1,0,,0,,,,0,,,,,0,,,0,,,,,,
september,8,mustard,sub_2,2,,0,,,,0,,,,,2,,,0,,1,,,,
october,1,fallow,pitfall_1,7,,1,,,,0,,1,,,0,,,0,,1,,,,
october,1,fallow,pitfall_2,6,,0,,,,0,,,,,0,,1,0,,,,,,
october,1,fallow,pitfall_3,5,,0,,,,0,,1,2,,0,,,0,,1,,,,
october,1,fallow,sub_1,0,,0,1,,,0,,,,,0,,,0,,,,,,
october,1,fallow,sub_2,0,,0,,,,0,,,1,,1,,,0,,,,,,
october,2,mustard,pitfall_1,19,,0,,,,0,,,,,0,,,0,,,,,,
october,2,mustard,pitfall_2,3,,0,,,,0,,1,2,,0,,,0,,,,,,
october,2,mustard,pitfall_3,11,,0,,,,0,,,,,0,,,0,,,,,,
october,2,mustard,sub_1,0,,0,,,,1,,,,,0,,,0,1,,,,,
october,2,mustard,sub_2,2,,0,,,,0,,,1,,2,,,0,,,,,,
october,3,mustard,pitfall_1,2,,2,,,,1,,,,,0,,,0,,,,,,
october,3,mustard,pitfall_2,2,,0,,,,0,,1,,,1,,,0,,,,,,
october,3,mustard,pitfall_3,19,,1,,,,0,,,1,,0,,,0,,,,,,
october,3,mustard,sub_1,0,,0,3,,,0,,1,,,0,,,0,,,,,,
october,3,mustard,sub_2,1,,0,1,,,0,,,2,,0,,,0,,,,,,
october,4,fallow,pitfall_1,4,,2,,,,0,,2,,,3,,,0,,1,,,,
october,4,fallow,pitfall_2,6,,0,1,,,0,,1,,,0,,,0,,,,,,
october,4,fallow,pitfall_3,0,,1,,,,0,,,,,0,,,0,,,,,,1
october,4,fallow,sub_1,0,,0,,,,0,,3,1,,1,,,0,,,1,,,
october,4,fallow,sub_2,0,,0,,,,0,,,1,,0,,,0,,,,,,
october,5,mustard,pitfall_1,13,,1,2,,,0,,,,,0,,,1,,1,,,,
october,5,mustard,pitfall_2,10,,1,,,1,0,,,,,0,,,0,,,,,,
october,5,mustard,pitfall_3,10,,0,,,,0,,,,,0,,,0,,,,,,
october,5,mustard,sub_1,0,,0,,,,0,,,,,0,,,0,,,2,,,
october,5,mustard,sub_2,0,,0,,,,0,,2,2,,0,,,1,,1,,,,
october,6,fallow,pitfall_1,5,,0,,,,0,1,,,,0,,,0,,,1,,,
october,6,fallow,pitfall_2,11,,1,,,,0,,,,,0,,,0,,3,,,,
october,6,fallow,pitfall_3,7,,1,,,,0,,,1,,0,,2,0,,,,,,
october,6,fallow,sub_1,1,,0,,,,0,,,,,0,,,0,,,,,,
october,6,fallow,sub_2,1,,0,,,,0,,,,,0,,,0,,,,,,
october,7,fallow,pitfall_1,1,,1,,,,0,,,,,1,,,0,,,,,,
october,7,fallow,pitfall_2,2,,0,,,,0,,,,,0,,,0,,,,,,
october,7,fallow,pitfall_3,12,,0,,,,0,,,,,0,,,0,,,,,,
october,7,fallow,sub_1,1,,0,,,,0,,,,,0,,,0,,,,,,
october,7,fallow,sub_2,0,,1,2,,,0,,,,,0,,,0,,,,,,
october,8,mustard,pitfall_1,10,,1,,,,1,,,,,0,,,1,,,,,,
october,8,mustard,pitfall_2,8,,0,,,,1,,,,1,0,,,0,,,,,,
october,8,mustard,pitfall_3,3,,1,,,,0,,,,,0,,,0,,,,,,
october,8,mustard,sub_1,0,,0,,,,0,,,1,,0,,,0,,,,,,
october,8,mustard,sub_2,0,,0,,,,0,,1,1,,0,,,0,,,,,,
