x,x,x,x,wasp,flys,springtails,slugs,spider,aphid,earthworm,Coleoptera (excluding carbids) e.g. ocypus (rove beetles) and latriidae and scarabs,lice,mites.2,mites,woodlice,soil centipedes,common beetle,"carlus, like brevicollis but no snatched pronotum",conspicuous setae on antenna,strenuus (like loricera but antenae not hairy),"niger, like brev but 2 cm","night1 took ages,","dull, semicircle pronotum, simialr to brevicollis, slighly bigger","metallic green,  ~1cm","3-4 mm, black, shiny, dark antennae, lighter legs","oo like membidion but light bronze, 5- 6.5 mm","big eyes, 5mm",like obsurus but lighter and more obvious neck,"coppery + green, 9mm",amara plebeja - dome shaped beetle,"aenea, like other amara but has black legs completely","snatched waist, weird feet",brevicollis_larvae,nebria_rufescens,amara_aenea_larvae,trechus_obtusus,madidus,big head- following up,oodes_helopioides,loricera_pilicornis,"carabus_coriaceus_larvae, base of ;egs lighter, ceric same length as tube",non-identifiable,cantharidae,colepotera_larvae_excluding_carabids,diptera_larvae,lepidoptera,hemiptera (root aphid)
month,plot,plot_type,trap,hymenoptera,diptera,collembola,stylommatophora,araneae,hemiptera,opisthopora,coleoptera_excluding_carabids,psocodea,mesostigmata,trombidiformes,isopod,geophilomorpha,nebria_brevicollis,calathus_fuscipes,loricera_pilicornis,pterostichus_strenuus,pterostichus_niger,poecilus_cupreus,harpalus_rufipes,anchomenus_dorsalis,bembidion_lampros,oxypselaphus_obscurus,notiophilus_biguttatus,trechus_obtusus,agonum_muelleri,amara_plebeja,amara_aenea,clivina_fossor,nebria_brevicollis_larvae,nebria_rufescens_larvae,amara_aenea_larvae,trechus_obtusus_larvae,pterostichus_madidus_larvae,harpalus_rufipes_larvae,oodes_helopioides_larvae,loricera_pilicornis_larvae,carabus_coriaceus_larvae,non_identifiable_carabid_larvae,cantharidae_larvae,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,hemiptera_larvae
september,1,fallow,pitfall_1,3,8,5,2,1,,,,,,,,,32,,3,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
september,1,fallow,pitfall_2,5,4,25,,2,,,,,,,,,30,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
september,1,fallow,pitfall_3,2,1,3,,1,,1,2,,,,,,22,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,
september,1,fallow,sub_1,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1
september,1,fallow,sub_2,,1,,,,,,2,,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,2,,1
september,2,mustard,pitfall_1,1,9,11,,1,,4,2,,,,,,46,,,2,,1,1,1,,1,,,,,,,,,,,3,,,,,,,,,,
september,2,mustard,pitfall_2,6,6,33,,,,4,7,,,2,,,74,,,,,,,,1,,,6,1,,,2,,,,,1,,,,,1,,,2,,
september,2,mustard,pitfall_3,5,1,5,,,,,,,,,,,49,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,
september,2,mustard,sub_1,5,1,11,2,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
september,2,mustard,sub_2,2,,2,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
september,3,mustard,pitfall_1,2,6,12,,2,,2,2,,,1,,,30,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
september,3,mustard,pitfall_2,1,2,3,,,,2,4,1,,,,,32,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
september,3,mustard,pitfall_3,,,3,,,,1,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september,3,mustard,sub_1,1,4,6,2,,,2,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,4,,
september,3,mustard,sub_2,5,,10,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
september,4,fallow,pitfall_1,,5,20,1,,,1,1,5,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
september,4,fallow,pitfall_2,1,7,4,1,,,5,1,,,,,,38,,,,,,,,3,3,1,,,,,,,1,,,,,,,,,,,,,
september,4,fallow,pitfall_3,1,10,15,,,,4,2,,,,,,44,,,1,,,,1,2,5,,,,,,,,1,,,,,,,,,,,,,
september,4,fallow,sub_1,1,,12,1,,,1,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
september,4,fallow,sub_2,2,,7,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,
september,5,mustard,pitfall_1,1,13,21,,2,,5,3,,,,,,86,,,,1,,,1,1,2,1,8,,,,,1,,,,,,,,,,2,,2,,
september,5,mustard,pitfall_2,11,9,6,,2,1,4,,,,,,,29,,1,1,1,,,,,,,3,,1,,,,,,,,,,,,,,,,,2
september,5,mustard,pitfall_3,5,5,9,2,2,2,2,3,,,,,,86,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,
september,5,mustard,sub_1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,
september,5,mustard,sub_2,,,3,2,,,1,,,,,,,10,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,1,,
september,6,fallow,pitfall_1,6,2,11,,,,,3,,1,1,,,25,,,2,,,,,,,,6,,,1,,,,,,,,,1,,1,,,1,,
september,6,fallow,pitfall_2,2,4,6,,,,3,,,,,,,44,2,,,,,,,1,1,,3,,,1,,,,,,,,,,,,,,,,
september,6,fallow,pitfall_3,4,7,17,,,,4,,,,,,,27,1,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,
september,6,fallow,sub_1,6,4,10,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,4,,
september,6,fallow,sub_2,2,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,
september,7,fallow,pitfall_1,19,10,15,1,2,1,7,,,,,,,46,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,
september,7,fallow,pitfall_2,3,5,13,1,1,,15,2,,,,,,49,,,2,1,,,,1,,,2,,,,,1,,,,,,,,,,,,,,
